Fuel,Sector,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Economy
5 Oil shale and oil sands,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
6.1 Crude oil,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
6.2 Natural gas liquids,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
6.3 Refinery feedstocks,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
6.4 Additives/  oxygenates,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
6.5 Other hydrocarbons,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.01 Motor gasoline,15. Transport sector,486.799236,488.976372,502.4160000000001,494.963496,506.39346,514.6833240000001,524.2710960000001,523.6849440000001,542.1906,559.0215360000001,577.2578007276,552.5494005276,555.3146018952,559.8192009492001,569.809600758,577.8821991456,582.2083986516,582.87739905,584.3492016012,593.4475994832001,607.3628019084,580.8258000612001,609.3252011232,612.1350002844,649.242198378,629.3952005148001,615.1678009740001,621.0104008248001,614.4096008016,616.5950015448,618.5573965728,625.7670787332,614.5042852836001,611.1982665864001,593.6724264564001,594.4969915956,592.489098612,611.9669463192,604.1692155384001,577.843839684,0.0,01_AUS
7.02 Aviation gasoline,15. Transport sector,3.55878,3.55878,3.516912,3.265704,3.391308,3.433176,3.391308,3.516912,3.684384,3.726252,4.058600184,3.345001992,3.1220004636,3.1220004636,3.1665982572,3.2557980312,3.1220004636,3.1665982572,3.2112002376,3.2557980312,3.2112002376,3.434201766,1.9623992148,2.9881987092,2.9881987092,2.8544011416,3.701801088,2.8097991612,2.7652013676,3.0328006896,2.4976020456,2.4820355232,2.655038286,3.0929189508,2.6166830112,2.5066539072,2.423340774,2.4941228148,2.0875049856,2.1121233696,0.0,01_AUS
7.03 Naphtha,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
7.04 Gasoline type jet fuel,15. Transport sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01_AUS
